Year,Round,Pick,Player,College,Games,Minutes Played,PTS,TRB,AST,FG%,3P%,FT%,Minutes Played per game,PTS per game,TBR per game,AST per game,WS,Team
2023,1,15,Kobe Bufkin,Michigan,17,196,81,33,27,0.37,0.225,0.5,11.5,4.8,1.9,1.6,-0.1,ATL
2023,2,46,Seth Lundy,Penn State,9,52,14,7,0,0.235,0.231,0.75,5.8,1.6,0.8,0.0,-0.1,ATL
2022,1,16,A.J. Griffin,Duke,92,1572,687,171,78,0.447,0.372,0.898,17.1,7.5,1.9,0.8,1.8,ATL
2022,2,44,Ryan Rollins,Toledo,25,140,67,25,20,0.447,0.462,0.826,5.6,2.7,1.0,0.8,0.0,ATL
2021,1,20,Jalen Johnson,Duke,148,3051,1343,796,289,0.506,0.328,0.694,20.6,9.1,5.4,2.0,6.0,ATL
2021,2,48,Sharife Coooper,Auburn,13,39,7,5,5,0.214,0.167,0.0,3.0,0.5,0.4,0.4,-0.2,ATL
2020,1,6,Onyeka Okongwu,USC,233,4847,1972,1398,226,0.64,0.318,0.754,20.8,8.5,6.0,1.0,17.7,ATL
2020,2,50,Skylar Mays,LSU,105,1111,451,122,182,0.445,0.345,0.859,10.6,4.3,1.2,1.7,2.1,ATL
2019,1,8,Jaxson Hayes,Texas,311,4929,2111,1174,201,0.636,0.268,0.707,15.8,6.8,3.8,0.6,16.4,ATL
2019,1,10,Cam Reddish,Duke,221,5287,2046,612,275,0.398,0.324,0.833,23.9,9.3,2.8,1.2,2.6,ATL
2019,2,35,Marcos Louzada Silva,Out US,12,185,43,20,8,0.326,0.355,1.0,15.4,3.6,1.7,0.7,-0.1,ATL
2018,1,3,Luka Dončić,Out US,400,13943,11470,3472,3317,0.47,0.347,0.747,34.9,28.7,8.7,8.3,51.2,ATL
2018,1,19,Kevin Huerter,Maryland,413,11887,4920,1433,1258,0.444,0.382,0.766,28.8,11.9,3.5,3.0,17.2,ATL
2018,1,30,Omari Spellman,Villanova,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1.0,2.4,ATL
2018,2,34,Devonte' Graham,Kansas,336,8359,3733,758,1448,0.371,0.354,0.812,24.9,11.1,2.3,4.3,12.7,ATL
2017,1,19,John Collins,Wake Forest,432,12519,6795,3478,617,0.548,0.358,0.785,29.0,15.7,8.1,1.4,36.7,ATL
2017,2,41,Tyler Dorsey,Oregon,107,1680,710,245,135,0.392,0.351,0.669,15.7,6.6,2.3,1.3,1.1,ATL
2016,1,21,DeAndre' Bembry,Saint Joseph's,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,ATL
2016,2,54,Kay Felder,Oakland,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1.0,1.3,-0.4,ATL
2015,1,15,Kelly Oubre,Kansas,595,15664,7790,2664,639,0.435,0.327,0.751,26.3,13.1,4.5,1.1,22.2,ATL
2014,1,15,Adreian Payne,Michigan State,107,1403,429,315,66,0.406,0.254,0.68,13.1,4.0,2.9,0.6,-0.6,ATL
2014,2,43,Edy Tavares,Out US,13,101,33,32,4,0.625,0.0,0.273,7.8,2.5,2.5,0.3,0.2,ATL
2013,1,17,Dennis Schröder,Out US,767,20919,10758,2236,3693,0.434,0.342,0.836,27.3,14.0,2.9,4.8,29.5,ATL
2013,1,18,Shane Larkin,Miami (FL),256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,ATL
2013,2,47,Raul Neto,Out US,435,6765,2470,658,913,0.458,0.361,0.812,15.6,5.7,1.5,2.1,11.6,ATL
2013,2,50,James Ennis,Cal State Long Beach,395,8022,2629,1306,373,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,ATL
