Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,Season,Salary,Team
Precious Achiuwa,PF,24.0,74.0,1624.0,235.0,469.0,0.501,26.0,97.0,0.268,209.0,372.0,0.562,69.0,112.0,0.616,191.0,296.0,487.0,97.0,46.0,68.0,83.0,143.0,565.0,1.2,2.2,3.4,2023-24,4379527.0,NYK
Bam Adebayo,C,26.0,71.0,2416.0,530.0,1017.0,0.521,15.0,42.0,0.357,515.0,975.0,0.528,292.0,387.0,0.755,159.0,578.0,737.0,278.0,81.0,66.0,162.0,159.0,1367.0,2.9,4.3,7.2,2023-24,32600060.0,MIA
Ochai Agbaji,SG,23.0,78.0,1641.0,178.0,433.0,0.411,62.0,211.0,0.294,116.0,222.0,0.523,37.0,56.0,0.661,74.0,142.0,216.0,83.0,47.0,44.0,64.0,117.0,455.0,-0.5,0.6,0.1,2023-24,4114200.0,TOR
Santi Aldama,PF,23.0,61.0,1618.0,247.0,568.0,0.435,106.0,304.0,0.349,141.0,264.0,0.534,54.0,87.0,0.621,72.0,280.0,352.0,138.0,43.0,54.0,69.0,89.0,654.0,0.4,2.0,2.4,2023-24,2194200.0,MEM
Nickeil Alexander-Walker,SG,25.0,82.0,1921.0,236.0,538.0,0.439,131.0,335.0,0.391,105.0,203.0,0.517,52.0,65.0,0.8,35.0,132.0,167.0,204.0,64.0,42.0,76.0,143.0,655.0,1.5,2.8,4.3,2023-24,4687500.0,MIN
Grayson Allen,SG,28.0,75.0,2513.0,340.0,682.0,0.499,205.0,445.0,0.461,135.0,237.0,0.57,129.0,147.0,0.878,48.0,247.0,295.0,227.0,69.0,45.0,95.0,157.0,1014.0,4.7,2.2,6.9,2023-24,8925000.0,PHO
Jarrett Allen,C,25.0,77.0,2442.0,519.0,819.0,0.634,0.0,6.0,0.0,519.0,813.0,0.638,233.0,314.0,0.742,243.0,568.0,811.0,210.0,53.0,81.0,121.0,147.0,1271.0,6.8,3.9,10.7,2023-24,20000000.0,CLE
Jose Alvarado,PG,25.0,56.0,1028.0,142.0,345.0,0.412,78.0,207.0,0.377,64.0,138.0,0.464,35.0,52.0,0.673,25.0,103.0,128.0,117.0,59.0,15.0,40.0,89.0,397.0,0.6,1.5,2.1,2023-24,1836096.0,NOP
Kyle Anderson,PF,30.0,79.0,1782.0,199.0,433.0,0.46,11.0,48.0,0.229,188.0,385.0,0.488,97.0,137.0,0.708,60.0,213.0,273.0,331.0,71.0,47.0,91.0,128.0,506.0,1.4,3.1,4.5,2023-24,9219512.0,MIN
Giannis Antetokounmpo,PF,29.0,73.0,2567.0,837.0,1369.0,0.611,34.0,124.0,0.274,803.0,1245.0,0.645,514.0,782.0,0.657,196.0,645.0,841.0,476.0,87.0,79.0,250.0,210.0,2222.0,9.5,3.7,13.2,2023-24,45640084.0,MIL
Thanasis Antetokounmpo,PF,31.0,34.0,155.0,16.0,30.0,0.533,0.0,1.0,0.0,16.0,29.0,0.552,0.0,2.0,0.0,7.0,6.0,13.0,17.0,7.0,4.0,14.0,24.0,32.0,-0.2,0.1,0.0,2023-24,2019706.0,MIL
Cole Anthony,PG,23.0,81.0,1817.0,332.0,763.0,0.435,93.0,275.0,0.338,239.0,488.0,0.49,180.0,218.0,0.826,64.0,247.0,311.0,236.0,64.0,37.0,126.0,175.0,937.0,0.9,2.7,3.6,2023-24,5539771.0,ORL
OG Anunoby,SF,26.0,50.0,1702.0,282.0,577.0,0.489,102.0,267.0,0.382,180.0,310.0,0.581,67.0,89.0,0.753,47.0,161.0,208.0,107.0,68.0,36.0,81.0,119.0,733.0,1.1,1.5,2.6,2023-24,18642857.0,NYK
Ryan Arcidiacono,PG,29.0,20.0,45.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,2.0,0.0,2.0,5.0,0.0,-0.1,0.1,-0.1,2023-24,2019706.0,DET
Deni Avdija,SF,23.0,75.0,2257.0,406.0,803.0,0.506,88.0,235.0,0.374,318.0,568.0,0.56,202.0,273.0,0.74,84.0,456.0,540.0,286.0,60.0,36.0,160.0,185.0,1102.0,1.7,1.5,3.2,2023-24,6263188.0,WAS
Deandre Ayton,C,25.0,55.0,1784.0,427.0,749.0,0.57,1.0,10.0,0.1,426.0,739.0,0.576,65.0,79.0,0.823,176.0,433.0,609.0,90.0,56.0,42.0,99.0,109.0,920.0,1.8,2.1,3.9,2023-24,32459438.0,POR
Marvin Bagley III,C,24.0,50.0,1053.0,239.0,408.0,0.586,9.0,23.0,0.391,230.0,385.0,0.597,96.0,126.0,0.762,130.0,182.0,312.0,55.0,20.0,33.0,59.0,81.0,583.0,2.0,0.7,2.7,2023-24,12500000.0,WAS
Patrick Baldwin Jr.,SF,21.0,38.0,493.0,59.0,155.0,0.381,31.0,97.0,0.32,28.0,58.0,0.483,19.0,28.0,0.679,17.0,106.0,123.0,29.0,18.0,15.0,19.0,56.0,168.0,-0.3,0.5,0.2,2023-24,2337720.0,WAS
LaMelo Ball,PG,22.0,22.0,711.0,183.0,423.0,0.433,70.0,197.0,0.355,113.0,226.0,0.5,90.0,104.0,0.865,29.0,84.0,113.0,176.0,40.0,4.0,83.0,79.0,526.0,0.6,0.5,1.1,2023-24,10900635.0,CHO
Mo Bamba,C,25.0,57.0,740.0,97.0,198.0,0.49,25.0,64.0,0.391,72.0,134.0,0.537,34.0,50.0,0.68,77.0,161.0,238.0,41.0,22.0,60.0,39.0,101.0,253.0,0.6,1.3,2.0,2023-24,2019706.0,PHI
Paolo Banchero,PF,21.0,80.0,2799.0,640.0,1407.0,0.455,119.0,351.0,0.339,521.0,1056.0,0.493,405.0,559.0,0.725,82.0,472.0,554.0,431.0,71.0,47.0,247.0,153.0,1804.0,1.3,4.0,5.3,2023-24,11608080.0,ORL
Desmond Bane,SG,25.0,42.0,1443.0,360.0,776.0,0.464,137.0,360.0,0.381,223.0,416.0,0.536,140.0,161.0,0.87,36.0,149.0,185.0,230.0,43.0,22.0,112.0,120.0,997.0,1.8,1.3,3.1,2023-24,3845083.0,MEM
Dalano Banton,PG,24.0,54.0,1047.0,202.0,500.0,0.404,59.0,199.0,0.296,143.0,301.0,0.475,94.0,120.0,0.783,41.0,137.0,178.0,127.0,33.0,20.0,77.0,64.0,557.0,-0.4,0.9,0.5,2023-24,2019706.0,POR
Dominick Barlow,PF,20.0,33.0,420.0,56.0,113.0,0.496,3.0,9.0,0.333,53.0,104.0,0.51,29.0,42.0,0.69,45.0,68.0,113.0,36.0,12.0,14.0,9.0,47.0,144.0,0.7,0.4,1.1,2023-24,455620.0,SAS
Harrison Barnes,PF,31.0,82.0,2381.0,347.0,732.0,0.474,149.0,385.0,0.387,198.0,347.0,0.571,157.0,196.0,0.801,67.0,182.0,249.0,99.0,54.0,12.0,58.0,98.0,1000.0,3.1,1.5,4.7,2023-24,17000000.0,SAC
Scottie Barnes,SG,22.0,60.0,2094.0,447.0,942.0,0.475,101.0,296.0,0.341,346.0,646.0,0.536,196.0,251.0,0.781,141.0,353.0,494.0,363.0,75.0,88.0,165.0,118.0,1191.0,2.3,2.0,4.3,2023-24,8008680.0,TOR
RJ Barrett,SG,23.0,58.0,1838.0,436.0,880.0,0.495,90.0,250.0,0.36,346.0,630.0,0.549,208.0,291.0,0.715,53.0,262.0,315.0,193.0,31.0,22.0,126.0,129.0,1170.0,1.6,1.2,2.9,2023-24,23883929.0,TOR
Charles Bassey,C,23.0,19.0,205.0,29.0,40.0,0.725,0.0,1.0,0.0,29.0,39.0,0.744,5.0,6.0,0.833,23.0,53.0,76.0,21.0,8.0,17.0,15.0,31.0,63.0,0.3,0.4,0.7,2023-24,2600000.0,SAS
Keita Bates-Diop,SF,28.0,53.0,665.0,72.0,166.0,0.434,21.0,69.0,0.304,51.0,97.0,0.526,32.0,42.0,0.762,31.0,79.0,110.0,38.0,25.0,22.0,15.0,35.0,197.0,0.5,0.8,1.3,2023-24,2346614.0,BRK
Nicolas Batum,PF,35.0,60.0,1529.0,116.0,256.0,0.453,73.0,185.0,0.395,43.0,71.0,0.606,15.0,21.0,0.714,70.0,178.0,248.0,128.0,48.0,38.0,40.0,109.0,320.0,1.7,1.6,3.3,2023-24,11710818.0,PHI
Darius Bazley,PF,23.0,9.0,152.0,18.0,30.0,0.6,2.0,8.0,0.25,16.0,22.0,0.727,10.0,12.0,0.833,8.0,20.0,28.0,7.0,6.0,7.0,8.0,3.0,48.0,0.2,0.1,0.3,2023-24,616075.0,UTA
Darius Bazley,PF,23.0,9.0,152.0,18.0,30.0,0.6,2.0,8.0,0.25,16.0,22.0,0.727,10.0,12.0,0.833,8.0,20.0,28.0,7.0,6.0,7.0,8.0,3.0,48.0,0.2,0.1,0.3,2023-24,616075.0,PHI
Bradley Beal,SG,30.0,53.0,1767.0,377.0,735.0,0.513,101.0,235.0,0.43,276.0,500.0,0.552,109.0,134.0,0.813,54.0,178.0,232.0,265.0,52.0,27.0,131.0,127.0,964.0,2.4,1.5,3.9,2023-24,46741590.0,PHO
Malik Beasley,SG,27.0,79.0,2337.0,320.0,722.0,0.443,224.0,542.0,0.413,96.0,180.0,0.533,25.0,35.0,0.714,41.0,249.0,290.0,108.0,59.0,9.0,54.0,158.0,889.0,1.9,1.6,3.5,2023-24,2019706.0,MIL
MarJon Beauchamp,SF,23.0,48.0,608.0,81.0,166.0,0.488,30.0,75.0,0.4,51.0,91.0,0.56,19.0,28.0,0.679,22.0,77.0,99.0,31.0,13.0,7.0,27.0,54.0,211.0,0.2,0.5,0.7,2023-24,2609400.0,MIL
Dāvis Bertāns,PF,31.0,43.0,674.0,92.0,234.0,0.393,76.0,200.0,0.38,16.0,34.0,0.471,30.0,33.0,0.909,9.0,52.0,61.0,35.0,26.0,12.0,18.0,56.0,290.0,0.5,0.4,0.9,2023-24,17000000.0,CHO
Patrick Beverley,PG,35.0,73.0,1462.0,158.0,379.0,0.417,61.0,181.0,0.337,97.0,198.0,0.49,74.0,90.0,0.822,49.0,190.0,239.0,212.0,43.0,31.0,65.0,128.0,451.0,1.2,1.5,2.7,2023-24,2019706.0,MIL
Saddiq Bey,SF,24.0,63.0,2062.0,290.0,697.0,0.416,113.0,358.0,0.316,177.0,339.0,0.522,170.0,203.0,0.837,167.0,244.0,411.0,92.0,51.0,11.0,54.0,88.0,863.0,2.8,0.7,3.5,2023-24,4556983.0,ATL
Goga Bitadze,C,24.0,62.0,957.0,126.0,209.0,0.603,2.0,14.0,0.143,124.0,195.0,0.636,57.0,87.0,0.655,109.0,177.0,286.0,79.0,32.0,72.0,44.0,107.0,311.0,1.8,1.9,3.7,2023-24,2066585.0,ORL
Onuralp Bitim,SG,24.0,23.0,268.0,32.0,84.0,0.381,12.0,44.0,0.273,20.0,40.0,0.5,4.0,5.0,0.8,6.0,26.0,32.0,13.0,3.0,2.0,10.0,24.0,80.0,-0.3,0.1,-0.1,2023-24,500000.0,CHI
Bismack Biyombo,C,31.0,40.0,791.0,74.0,131.0,0.565,0.0,0.0,0.0,74.0,131.0,0.565,26.0,54.0,0.481,62.0,147.0,209.0,53.0,11.0,37.0,42.0,89.0,174.0,0.1,1.0,1.1,2023-24,5754488.0,MEM
