PTS per game,TBR per game,AST per game,WS,Pick,College
4.8,1.9,1.6,-0.1,15,US
7.5,1.9,0.8,1.8,16,US
9.1,5.4,2.0,6.0,20,US
8.5,6.0,1.0,17.7,6,US
6.8,3.8,0.6,16.4,8,US
9.3,2.8,1.2,2.6,10,US
28.7,8.7,8.3,51.2,3,Out US
11.9,3.5,3.0,17.2,19,US
15.7,8.1,1.4,36.7,19,US
13.1,4.5,1.1,22.2,15,US
4.0,2.9,0.6,-0.6,15,US
14.0,2.9,4.8,29.5,17,Out US
5.5,1.9,2.9,4.4,18,US
12.2,2.4,5.6,52.4,19,US
13.1,8.0,3.2,112.7,3,US
3.9,1.0,1.6,1.6,11,US
4.5,4.3,0.5,9.9,5,US
10.2,5.2,1.3,65.1,2,US
9.1,4.7,1.6,25.7,6,US
14.5,7.4,3.1,51.0,17,Out US
17.0,9.2,3.2,144.1,3,Out US
6.2,2.2,0.9,6.4,6,US
13.4,2.3,3.8,102.0,10,US
3.0,1.9,0.2,1.8,17,US
8.2,3.1,1.5,5.8,20,US
7.2,2.7,1.1,0.2,20,US
7.8,5.0,0.6,28.0,16,US
2.4,1.8,0.7,0.2,15,US
5.0,4.1,0.7,24.9,10,US
8.0,3.2,1.6,43.8,9,US
5.6,4.5,0.8,0.3,15,US
7.6,1.8,3.5,5.2,10,US
8.6,5.4,1.7,9.6,19,US
4.5,4.9,1.0,29.2,5,US
12.1,8.4,0.9,81.8,11,US
6.0,1.5,0.6,0.4,10,US
11.8,3.0,1.8,15.4,4,US
9.8,2.8,1.8,10.5,18,US
8.1,1.4,3.2,2.4,10,US
6.7,2.9,0.9,4.3,16,US
5.4,5.8,0.6,63.9,14,US
6.9,2.0,4.7,11.3,9,US
22.1,3.8,3.2,50.8,1,US
7.1,7.0,1.2,28.1,3,US
6.0,3.9,0.8,13.3,19,Out US
9.4,2.3,4.8,22.1,7,US
8.7,6.5,0.9,8.2,10,US
8.1,5.9,1.2,27.6,9,US
7.4,4.4,1.4,16.2,10,US
8.8,3.9,1.0,8.4,5,US
24.2,4.2,5.4,46.7,3,US
3.6,0.7,0.8,-0.3,14,US
9.3,3.4,3.6,32.8,10,US
4.1,0.6,1.4,0.5,13,US
2.5,1.2,0.1,0.4,8,US
20.2,4.4,2.7,81.0,4,US
12.2,2.8,2.9,58.3,14,US
10.6,8.6,1.4,39.3,8,US
16.2,4.3,3.8,62.8,6,US
9.4,9.9,2.1,79.9,12,US
3.2,1.7,1.4,1.0,6,US
16.0,10.4,1.5,58.2,3,US
4.3,1.1,1.8,0.5,12,US
5.5,3.1,2.0,0.3,8,US
16.5,4.7,6.7,95.5,6,US
2.4,1.4,0.1,0.0,14,US
9.1,5.3,1.4,20.2,7,US
7.9,5.6,0.9,0.1,15,US
10.6,5.2,1.0,35.9,7,US
5.5,5.1,0.8,9.3,15,US
6.8,3.4,2.1,2.7,4,US
8.1,5.3,0.8,4.5,12,US
15.1,22.5,4.3,163.5,2,US
15.8,9.1,1.6,34.3,10,US
9.3,6.3,2.1,2.1,1,US
10.3,5.2,2.9,4.8,9,US
6.8,2.2,2.5,8.9,17,US
26.4,16.2,3.0,136.0,2,US
9.3,5.5,1.8,16.5,3,US
4.9,2.9,0.6,-1.2,1,US
11.1,9.6,3.0,27.9,2,US
18.4,5.2,7.5,91.1,4,US
3.7,2.6,0.9,0.6,16,US
8.3,3.2,1.0,7.6,14,US
4.6,2.1,0.7,2.0,14,US
4.8,2.0,1.1,13.2,20,US
23.1,7.2,3.5,55.9,3,US
18.6,5.3,2.4,35.3,3,US
2.3,1.4,0.4,1.1,16,Out US
14.3,3.9,3.6,29.5,16,US
10.7,3.5,4.6,33.4,6,US
2.3,1.0,0.3,0.8,17,US
3.2,2.8,0.5,6.0,16,Out US
11.0,2.8,1.7,17.2,19,US
12.0,4.1,1.5,54.6,5,US
10.3,2.2,2.8,23.5,7,US
9.7,2.5,0.9,18.4,18,Out US
15.7,8.4,1.5,71.0,15,Out US
1.8,0.7,0.7,-0.2,16,US
5.4,1.7,0.8,9.9,20,US
16.0,4.0,3.9,82.9,10,US
3.6,2.4,0.7,3.0,11,US
2.7,2.7,0.3,2.1,11,US
19.7,5.6,3.5,150.0,10,US
15.2,2.9,5.4,120.8,3,US
13.6,3.1,2.1,9.4,6,US
17.5,7.7,3.5,38.1,6,US
8.6,3.3,1.4,23.2,14,US
4.5,4.6,0.4,8.5,9,US
5.1,2.7,0.3,0.3,19,US
11.1,2.6,3.7,33.4,19,US
5.0,1.5,1.0,1.4,13,US
7.8,2.1,3.9,10.9,20,US
17.9,7.3,1.7,113.0,3,US
24.3,10.0,6.3,145.8,6,US
14.7,1.6,1.6,10.0,8,US
12.5,6.3,2.2,78.5,12,US
2.4,1.1,0.2,-0.1,16,US
7.7,4.7,1.6,15.2,17,US
4.2,1.5,0.7,1.1,17,US
2.4,1.5,0.4,-0.2,17,US
15.6,1.9,4.4,67.7,10,US
2.6,1.8,0.2,0.3,10,US
17.6,13.6,3.8,86.3,4,US
17.2,4.0,4.9,54.0,9,US
8.4,3.9,2.1,35.5,12,US
4.7,1.7,1.1,0.8,11,US
11.7,3.1,3.0,33.2,8,US
1.4,1.4,0.1,-0.1,20,US
8.3,6.0,1.4,27.7,9,US
6.3,1.5,0.4,2.0,18,US
20.8,6.3,4.8,131.7,9,US
4.8,1.5,0.5,0.1,18,US
6.7,2.6,1.9,2.3,9,US
9.6,6.3,1.1,56.5,8,US
4.3,4.7,0.4,0.4,8,US
3.2,2.3,0.3,1.2,16,US
4.6,4.5,0.5,1.9,8,US
17.7,4.9,2.5,92.3,8,US
18.6,8.8,2.0,60.0,6,US
7.4,3.5,4.3,38.6,14,US
6.2,5.6,0.7,3.4,4,US
6.3,5.1,0.7,5.3,12,US
7.4,3.4,0.7,6.5,5,US
3.6,5.3,0.9,2.2,14,US
13.4,5.5,1.8,49.2,6,US
4.9,2.6,1.7,0.8,7,US
8.3,8.4,1.4,42.0,1,US
6.7,5.9,1.8,11.6,13,US
14.1,5.2,1.8,14.6,19,US
